record_name	protein_id	gene	locus_tag	EC_number	product	db_xref
NC_003197	NP_459006.1	thrL	STM0001		thr operon leader peptide	GeneID:1251519
NC_003197	NP_459007.1	thrA	STM0002	1.1.1.3', '2.7.2.4	bifunctional aspartate kinase/homoserine dehydrogenase I	GeneID:1251520
NC_003197	NP_459008.1	thrB	STM0003	2.7.1.39	homoserine kinase	GeneID:1251521
NC_003197	NP_459009.1	thrC	STM0004	4.2.3.1	threonine synthase	GeneID:1251522
NC_003197	NP_459010.1	yaaA	STM0005		peroxide stress protein YaaA	GeneID:1251523
NC_003197	NP_459011.1	yaaJ	STM0006		sodium:alanine symporter family protein	GeneID:1251524
NC_003197	NP_459012.1	talB	STM0007	2.2.1.2	transaldolase	GeneID:1251525
NC_003197	NP_459013.1	mog	STM0008		molybdopterin adenylyltransferase	GeneID:1251526
NC_003197	NP_459014.1	yaaH	STM0009		hypothetical protein	GeneID:1251527
NC_003197	NP_459015.1	htgA	STM0010		hypothetical protein	GeneID:1251528
NC_003197	NP_459016.1	yaaI	STM0011		hypothetical protein	GeneID:1251529
NC_003197	NP_459017.1	dnaK	STM0012		molecular chaperone DnaK	GeneID:1251530
NC_003197	NP_459018.1	dnaJ	STM0013		molecular chaperone DnaJ	GeneID:1251531
NC_003197	NP_459019.1		STM0014		hypothetical protein	GeneID:1251532
NC_003197	NP_459020.1		STM0015		hypothetical protein	GeneID:1251533
NC_003197	NP_459021.1		STM0016		hypothetical protein	GeneID:1251534
NC_003197	NP_459022.1		STM0017		hypothetical protein	GeneID:1251535
NC_003197	NP_459023.1		STM0018		chitinase	GeneID:1251536
NC_003197	NP_459024.1		STM0019		chitinase	GeneID:1251537
NC_003197	NP_459025.1		STM0020		hypothetical protein	GeneID:1251538
NC_003197	NP_459026.1	bcfA	STM0021		fimbrial protein	GeneID:1251539
NC_003197	NP_459027.1	bcfB	STM0022		fimbrial chaperone protein	GeneID:1251540
NC_003197	NP_459028.1	bcfC	STM0023		outer membrane usher protein	GeneID:1251541
NC_003197	NP_459029.1	bcfD	STM0024		fimbrial protein	GeneID:1251542
NC_003197	NP_459030.1	bcfE	STM0025		fimbrial protein	GeneID:1251543
NC_003197	NP_459031.1	bcfF	STM0026		fimbrial protein	GeneID:1251544
NC_003197	NP_459032.1	bcfG	STM0027		fimbrial chaparone	GeneID:1251545
NC_003197	NP_459033.1	bcfH	STM0028		hypothetical protein	GeneID:1251546
NC_003197	NP_459034.1		STM0029		transcriptional regulator	GeneID:1251547
NC_003197	NP_459035.1		STM0030		putative LysR family transcriptional regulator	GeneID:1251548
NC_003197	NP_459036.1		STM0031		transcriptional regulator	GeneID:1251549
NC_003197	NP_459037.1		STM0032		putative arylsulfatase	GeneID:1251550
NC_003197	NP_459038.1		STM0033		"""multifunctional 2',3'-cyclic-nucleotide 2'-phosphodiesterase/5'-nucleotidase/3'-nucleotidase"""	GeneID:1251551
NC_003197	NP_459039.1		STM0034		hypothetical protein	GeneID:1251552
NC_003197	NP_459040.1		STM0035		putative arylsulfatase	GeneID:1251553
NC_003197	NP_459041.1		STM0036		anaerobic sulfatase maturase	GeneID:1251554
NC_003197	NP_459042.1		STM0037		putative cytoplasmic protein	GeneID:1251555
NC_003197	NP_459043.1		STM0038		putative arylsulfatase	GeneID:1251556
NC_003197	NP_459044.1	nhaA	STM0039		Na(+)/H(+) antiporter NhaA	GeneID:1251557
NC_003197	NP_459045.1	nhaR	STM0040		transcriptional activator of nhaA	GeneID:1251558
NC_003197	NP_459046.1		STM0041		family 31 glucosidase	GeneID:1251559
NC_003197	NP_459047.1		STM0042		MFS transporter	GeneID:1251560
NC_003197	NP_459048.1	rpsT	STM0043		30S ribosomal protein S20	GeneID:1251561
NC_003197	NP_459049.1	yaaY	STM0044		hypothetical protein	GeneID:1251562
NC_003197	NP_459050.1	ribF	STM0045	2.7.1.26', '2.7.7.2	riboflavin biosynthesis protein RibF	GeneID:1251563
NC_003197	NP_459051.1	ileS	STM0046	6.1.1.5	isoleucine--tRNA ligase	GeneID:1251564
NC_003197	NP_459052.1	lspA	STM0047	3.4.23.36	signal peptidase II	GeneID:1251565
NC_003197	NP_459053.1	slpA	STM0048	5.2.1.8	peptidylprolyl isomerase	GeneID:1251566
NC_003197	NP_459054.1	lytB	STM0049		4-hydroxy-3-methylbut-2-enyl diphosphate reductase	GeneID:1251567
NC_003197	NP_459055.1		STM0050		putative nitrite reductase	GeneID:1251568
NC_003197	NP_459056.1	rihC	STM0051		ribonucleoside hydrolase RihC	GeneID:1251569
NC_003197	NP_459057.1		STM0052		response regulator	GeneID:1251570
NC_003197	NP_459058.1		STM0053		histidine kinase	GeneID:1251571
NC_003197	NP_459059.1		STM0054	4.1.1.3	oxaloacetate decarboxylase subunit beta	GeneID:1251572
NC_003197	NP_459060.1		STM0055	4.1.1.3	oxaloacetate decarboxylase subunit alpha	GeneID:1251573
NC_003197	NP_459061.1		STM0056		oxaloacetate decarboxylase subunit gamma	GeneID:1251574
NC_003197	NP_459062.1		STM0057		citrate:sodium symporter	GeneID:1251575
